name,price,type,Number_door,kilometrage,first_hand,Secteur,marque,Etat,year_model,origin
Bmw 535i bi-turbo essence,164429.89045383412,"Voitures d occasion, à vendre",5.0,130 000 - 139 999,Non,Centre Ville,BMW,Excellent,2010,WW au Maroc
Volkswagen touareg Diesel 2010,164429.89045383412,"Voitures d occasion, à vendre",5.0,190 000 - 199 999,Non,Narjis,Volkswagen,Très bon,2010,WW au Maroc
Range rover sport autobiographie importé neuve,440000.0,"Voitures d occasion, à vendre",5.0,75 000 - 79 999,Oui,Centre Ville,Land Rover,Excellent,2014,Importée neuve
Audi rsq3,164429.89045383412,"Voitures d occasion, à vendre",5.0,35 000 - 39 999,Oui,Californie,Audi,Excellent,2020,Importée neuve
Mercedes Classe a Nouveau modèle,164429.89045383412,"Voitures d occasion, à vendre",5.0,85 000 - 89 999,Oui,Centre Ville,Mercedes-Benz,Excellent,2019,WW au Maroc
Mercedes c63 AMG performance carbone édition,164429.89045383412,"Voitures d occasion, à vendre",5.0,170 000 - 179 999,Non,Centre Ville,Mercedes-Benz,Excellent,2011,Dédouanée
Hyundai santafee 7places automatique,105000.0,"Voitures d occasion, à vendre",5.0,170 000 - 179 999,Oui,Centre Ville,Hyundai,Excellent,2010,WW au Maroc
Maserati ghibli,164429.89045383412,"Voitures d occasion, à vendre",5.0,110 000 - 119 999,Non,Californie,Maserati,Excellent,2015,Importée neuve
Range Rover sport,370000.0,"Voitures d occasion, à vendre",5.0,140 000 - 149 999,Oui,Californie,Land Rover,Excellent,2014,Importée neuve
Ford fiesta titanium,90000.0,"Voitures d occasion, à vendre",5.0,100 000 - 109 999,Non,2 Mars,Ford,Excellent,2012,WW au Maroc
Bmw Série 5 530d pack luxury,164429.89045383412,"Voitures d occasion, à vendre",5.0,140 000 - 149 999,Oui,Californie,BMW,Excellent,2018,WW au Maroc
Range rover sport hse,340000.0,"Voitures d occasion, à vendre",5.0,150 000 - 159 999,Oui,Centre Ville,Land Rover,Excellent,2013,WW au Maroc
honda crv a vendre,78000.0,"Voitures d occasion, à vendre",5.0,170 000 - 179 999,Non,Nan,Honda,Très bon,2008,WW au Maroc
hyundai ix 35,118000.0,"Voitures d occasion, à vendre",5.0,180 000 - 189 999,Non,Nan,Hyundai,Très bon,2011,WW au Maroc
Mercedes CLS 350 4Matic AMG Line,860000.0,"Voitures d occasion, à vendre",5.0,70 000 - 74 999,Oui,Centre Ville,Mercedes-Benz,Excellent,2020,Importée neuve
